2026/08/23 23:29:23 [alert] 343#343: *147437 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "157.137.237.4"
2026/08/23 23:29:27 [error] 344#344: *147439 open() "/var/www/html/.well-known/security.txt" failed (2: No such file or directory), client: 66.132.186.194, server: localhost-nginx-proxy-manager, request: "GET /.well-known/security.txt HTTP/1.1", host: "157.137.237.4"
2026/08/23 23:49:15 [alert] 344#344: *148530 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "157.137.237.4"
2026/08/23 23:53:45 [error] 343#343: *148551 open() "/var/www/html/.env" failed (2: No such file or directory), client: 85.11.167.225, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "157.137.237.4"
2026/08/23 23:54:28 [error] 343#343: *148555 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 85.11.167.225, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "157.137.237.4"
2026/08/24 01:08:56 [error] 343#343: *148864 open() "/var/www/html/login" failed (2: No such file or directory), client: 45.198.224.26, server: localhost-nginx-proxy-manager, request: "GET /login HTTP/1.1", host: "157.137.237.4:80"
2026/08/24 01:58:28 [error] 344#344: *149082 open() "/var/www/html/.env" failed (2: No such file or directory), client: 45.148.10.8, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "157.137.237.4"
2026/08/24 01:58:49 [error] 344#344: *149086 open() "/var/www/html/.env" failed (2: No such file or directory), client: 45.148.10.8, server: localhost-nginx-proxy-manager, request: "GET /.env HTTP/1.1", host: "157.137.237.4"
2026/08/24 02:07:10 [alert] 344#344: *150109 512 worker_connections are not enough while connecting to upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "157.137.237.4"
2026/08/24 02:32:01 [error] 343#343: *150216 open() "/var/www/html/hello.world" failed (2: No such file or directory), client: 165.245.172.73, server: localhost-nginx-proxy-manager, request: "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1", host: "157.137.237.4:80"
